SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL,Tanimoto_Similarity
CC(C)C=1C=CC=CC1C(=O)NC=2C=CC=3N=CC=CC3C2,Z3033813112,290.36,290.36,3.945,-5.581,1,2,41.99,3,https://real.enamine.net/public-enum-files/Z3033813112,0.26153846153846155
CC=1C=NC(C)=C(N1)N2CCN(CC2)C(=O)C=3C=CC=CN3,Z1687426883,297.356,297.356,0.948,-1.77,0,5,62.22,2,https://real.enamine.net/public-enum-files/Z1687426883,0.26153846153846155
O=C(NCC1CC1)N2CCN(CC2)C(=O)C=3C=CC=CN3,Z495704778,288.346,288.346,0.705,-2.279,1,3,65.54,3,https://real.enamine.net/public-enum-files/Z495704778,0.26153846153846155
CC(=O)N(C)C=1C=CC=CC1NC(=O)C=2N=CC=NC2N,Z1228374150,285.302,285.302,0.676,-2.091,2,5,101.21,3,https://real.enamine.net/public-enum-files/Z1228374150,0.26153846153846155
O=C(NC1=CNC=2C=CC=CC12)C=3C=CC=4C=CNC4C3,Z2933986678,275.305,275.305,2.822,-5.254,3,1,60.68,2,https://real.enamine.net/public-enum-files/Z2933986678,0.26153846153846155
CC=1C=C(C)N2N=CC(C(=O)NC=3C=CC=4N=C(SC4C3)N5CCN(C)CC5)=C2N1,Z3477978454,421.521,421.521,3.243,-4.105,1,6,78.66,3,https://real.enamine.net/public-enum-files/Z3477978454,0.26136363636363635
COC=1C=CC2=CC=CC(NC(=O)C=3C=NN(C3)CCN4CCOCC4)=C2C1,Z3715552220,380.441,380.441,2.353,-3.351,1,5,68.62,6,https://real.enamine.net/public-enum-files/Z3715552220,0.26136363636363635
CC=1N=CC=CC1NC(=O)C2=CN(N=N2)C=3C=CC=4C(=O)N(CC4C3)C5CCC(=O)NC5=O,Z5015301912,445.432,445.432,0.043,-3.085,2,7,139.18,4,https://real.enamine.net/public-enum-files/Z5015301912,0.26136363636363635
N#CCC=1C=CC=CC1C(=O)NC=2C=CC=3N=CC=CC3C2,Z3033814078,287.316,287.316,2.24,-4.316,1,3,65.78,3,https://real.enamine.net/public-enum-files/Z3033814078,0.2608695652173913
CC=1C=CC=C(C(=O)NC2=CNN=C2C=3C=CC=CC3F)C1C,Z1935653672,309.338,309.338,3.381,-5.498,2,2,57.78,3,https://real.enamine.net/public-enum-files/Z1935653672,0.2608695652173913
NC=1C=CC=C(N1)C(=O)NC2=CC(=NN2)C=3C=CC=C(F)C3F,Z4655554257,315.278,315.278,2.765,-5.065,3,4,96.69,3,https://real.enamine.net/public-enum-files/Z4655554257,0.2608695652173913
O=C(CCCC=1C=CC=CN1)NC2=NC=3C=CC=CC3N2CCC=4C=CC=CN4,Z1334431532,385.463,385.463,3.041,-3.671,1,4,72.7,8,https://real.enamine.net/public-enum-files/Z1334431532,0.2608695652173913
O=C(NC=1C=C(C=CC1F)C2=NC=3C=CC=CC3N2)C4CCN(CC4)C=5C=CC6=NN=NN6N5,Z5211136712,457.464,457.464,1.153,-5.838,2,7,116.99,4,https://real.enamine.net/public-enum-files/Z5211136712,0.2608695652173913
O=C(NC=1C=CC=C2C=CC=NC12)C3CC(=O)N(CC=4C=CC=CC4)C3,Z28487252,345.395,345.395,3.457,-4.296,1,3,62.3,4,https://real.enamine.net/public-enum-files/Z28487252,0.2602739726027397
COC=1C=C(C=CC1NC(=O)C=2C=CC=3NC=CC3N2)C(=O)N(C)C,Z7659279829,338.361,338.361,1.055,-3.55,2,4,87.32,4,https://real.enamine.net/public-enum-files/Z7659279829,0.2602739726027397
CC1=NN(C=C1NC(=O)C=2C=CC=3C=CC=CC3N2)C4CCOCC4,Z3204128159,336.389,336.389,1.139,-3.358,1,4,69.04,3,https://real.enamine.net/public-enum-files/Z3204128159,0.2602739726027397
CN1C=C(C(=O)NCCC=2C=CC3=CC=CC=C3N2)C(=N1)C=4C=CN=CC4,Z918286266,357.409,357.409,1.553,-3.452,1,4,72.7,5,https://real.enamine.net/public-enum-files/Z918286266,0.2602739726027397
O=C(NC1CCCCC21NC(=O)NC2=O)C=3C=NC=4C=CC=CC4N3,Z4458223856,339.349,339.349,1.16,-2.838,3,5,113.08,2,,0.2602739726027397
COCCN1C(=NC=2C=CC=CC21)NC(=O)C=3C=C(N=CN3)OC,Z2958488134,327.339,327.339,1.609,-3.529,1,6,91.16,6,https://real.enamine.net/public-enum-files/Z2958488134,0.2602739726027397
O=C(NC=1C=CC=2CNC(=O)C2C1)C=3C=C(N=C4C=CC=CC34)C=5C=CC=CC5,Z941455540,379.412,379.412,4.177,-6.392,2,3,71.09,3,https://real.enamine.net/public-enum-files/Z941455540,0.2602739726027397
O=C(NCCCC1=NC2=CC=CC=C2N1)C3CC3C4CCCCC4,Z1260700484,325.449,325.449,3.725,-5.356,2,2,57.78,6,https://real.enamine.net/public-enum-files/Z1260700484,0.2602739726027397
O=C(NCCN1C(=O)NC=2C=CC=CC21)C=3C=CC(F)=CC3,Z1366471091,299.3,299.3,2.903,-4.377,2,2,61.44,4,https://real.enamine.net/public-enum-files/Z1366471091,0.2602739726027397
O=C(NC1=NC(=CS1)C2=CNC=3N=CC=CC23)C=4C=CC=CC4F,Z7671689760,338.361,338.361,2.833,-6.101,2,3,70.67,3,https://real.enamine.net/public-enum-files/Z7671689760,0.2602739726027397
