Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
"Camptothecin","1003","OVCAR-3","905933","OV","urogenital_system","ovary","-1.178012375761865",".9355704201441879",".10000000000000001",".074651078393821804",".58698793553879847","GDSC2"
"Camptothecin","1003","SK-OV-3","905959","OV","urogenital_system","ovary","-1.4227106155346347",".86573462643765609",".10000000000000001",".082155843217486257",".45392715130048428","GDSC2"
"Camptothecin","1003","IGROV-1","905968","OV","urogenital_system","ovary","-2.1693116779287731",".84825446217238576",".10000000000000001",".079642129685210936",".047944161935402511","GDSC2"
"Camptothecin","1003","OVCAR-5","905969","OV","urogenital_system","ovary",".45354907466441535",".93200167404903034",".10000000000000001",".07511596285942225","1.4741902559491189","GDSC2"
"Camptothecin","1003","OVCAR-4","905990","OV","urogenital_system","ovary",".60663232930252753",".97323543460846151",".10000000000000001",".059395029941979191","1.5574331020554746","GDSC2"
"Camptothecin","1003","OVCAR-8","905991","OV","urogenital_system","ovary","-3.1824601282118228",".81747540922004847",".10000000000000001",".10281629914877485","-.50298063208715382","GDSC2"
"Camptothecin","1003","Caov-3","906825","OV","urogenital_system","ovary","-3.8125506903918125",".72372904932105908",".10000000000000001",".15750113752393377","-.84560812471924252","GDSC2"
"Camptothecin","1003","OC-314","909257","OV","urogenital_system","ovary","-3.7671086229203667",".7508150621292472",".10000000000000001",".13613868820387592","-.82089786468314296","GDSC2"
"Camptothecin","1003","SW626","909753","OV","urogenital_system","ovary",".18032233218066424",".92896132520317287",".10000000000000001",".064471498449503173","1.3256163852767009","GDSC2"
"Camptothecin","1003","OAW-42","910548","OV","urogenital_system","ovary","-3.244449936795879",".77141514341039952",".10000000000000001",".085835272969878085","-.5366891399727729","GDSC2"
"Camptothecin","1003","EFO-21","911905","OV","urogenital_system","ovary","1.0242303044891681",".92531993828763559",".10000000000000001",".063306571194914812","1.7845124391453766","GDSC2"
"Camptothecin","1003","OAW-28","946360","OV","urogenital_system","ovary","-2.4642993068397359",".85011731057706608",".10000000000000001",".076890943992179689","-.11246273465667275","GDSC2"
"Camptothecin","1003","Caov-4","949090","OV","urogenital_system","ovary","-2.473381137957984",".82767482642390922",".10000000000000001",".091826720730563929","-.11740120733239036","GDSC2"
"Camptothecin","1003","FU-OV-1","1240129","OV","urogenital_system","ovary","2.7627339152046013",".98576756533619581",".10000000000000001",".053913303756042495","2.7298672322887585","GDSC2"
"Camptothecin","1003","OV-90","1240197","OV","urogenital_system","ovary","-1.3603945561850463",".87014672730690679",".10000000000000001",".068170249079817821",".4878130661946718","GDSC2"
"Camptothecin","1003","OVISE","1240198","OV","urogenital_system","ovary",".22287906062140692",".96099019027076227",".10000000000000001",".075004878392084515","1.3487576700942809","GDSC2"
"Camptothecin","1003","OVKATE","1240199","OV","urogenital_system","ovary","2.7355386944620306",".9626495142405489",".10000000000000001",".054525739547258777","2.7150791512510661","GDSC2"
"Camptothecin","1003","OVMIU","1240200","OV","urogenital_system","ovary",".87911511549318699",".94869395078533247",".10000000000000001",".072024119957130706","1.7056024278979431","GDSC2"
"Camptothecin","1003","TOV-21G","1240222","OV","urogenital_system","ovary","-1.5494132090237027",".88753918589035152",".10000000000000001",".069147887758881227",".38502944909249398","GDSC2"
"Camptothecin","1003","OVTOKO","1298365","OV","urogenital_system","ovary",".31386053924361057",".95408474277392608",".10000000000000001",".080402244577257781","1.3982311232252627","GDSC2"
"Camptothecin","1003","TOV-112D","1299070","OV","urogenital_system","ovary","-3.8596149936228619",".73860296360907274",".10000000000000001",".1335941821375824","-.87120051599826687","GDSC2"
"Camptothecin","1003","DOV13","1479987","OV","urogenital_system","ovary","-3.4730475820568123",".77999126135616681",".10000000000000001",".14508510804995076","-.66099482350240413","GDSC2"
"Camptothecin","1003","Hey","1479988","OV","urogenital_system","ovary","-2.7875347929848804",".79987291987771802",".10000000000000001",".11307492411867466","-.28823010968996005","GDSC2"
"Camptothecin","1003","JHOS-2","1479995","OV","urogenital_system","ovary","-2.2668420103917413",".85749150656792805",".10000000000000001",".13222254507067333","-.0050903941635588633","GDSC2"
"Camptothecin","1003","JHOS-3","1480358","OV","urogenital_system","ovary","-1.4461106356833426",".88494338714544818",".10000000000000001",".073108959824393235",".44120280544874962","GDSC2"
"Camptothecin","1003","JHOS-4","1480359","OV","urogenital_system","ovary","-2.4687494672345638",".85338539112270084",".10000000000000001",".10374479920783629","-.11488262060547222","GDSC2"
"Camptothecin","1003","OV-7","1480360","OV","urogenital_system","ovary","-3.5213474082746505",".76301417118365533",".10000000000000001",".10486675450512688","-.68725906128804526","GDSC2"
"Camptothecin","1003","OV-17R","1480361","OV","urogenital_system","ovary","-.57824221495854167",".94852021148455024",".10000000000000001",".092386061030729133",".91312795204786257","GDSC2"
"Camptothecin","1003","OV-56","1480362","OV","urogenital_system","ovary","-2.2360086819939746",".85846004586771107",".10000000000000001",".15102836675495188",".011675998848071077","GDSC2"
"Camptothecin","1003","OVCA420","1480364","OV","urogenital_system","ovary",".83177870172543966",".96683774821797064",".10000000000000001",".10553452710976916","1.6798620697130424","GDSC2"
"Camptothecin","1003","OVCA433","1480367","OV","urogenital_system","ovary","-1.9581517253863678",".86438409430312624",".10000000000000001",".095277612397469291",".16276766418498564","GDSC2"
"Camptothecin","1003","OVK-18","1480371","OV","urogenital_system","ovary","-2.6820059719732718",".82578173942378075",".10000000000000001",".10151079615966926","-.23084617551622555","GDSC2"
